content,hci_attribute
"A language model that is used to generate the text for a jupyter notebook code cell, based only on the text of the markdown cell above it.",efficiency
"The ability to write markdown in a jupyter notebook cell, then write the corresponding code below the cell",efficiency
Interactive tutorials and contextual help provided by the LLM to guide users through complex coding tasks,learnability
"Static documentation (i.e., a website) that provides the traditional jupyter notebooks documentation",learnability
"The llm remembers user the user name, preferences, past queries, and provides personalized suggestions",personalization
Standard jupyter notebook that does not remember user preferences or past queries,personalization
"Voice commands and natural language input, allowing the completion of tasks without typing",accessibility
"Only text-based input, requiring the user to type out all commands",accessibility
"The LLM provides a visual representation of the code that is generated, allowing users to see the code in a more intuitive way",usability
"The LLM only provides the code in text form, requiring users to interpret the code themselves",usability
"Near immediate, context-aware feedback and explanations from the LLM",feedback
Basic feedback through output cells with error messages,feedback
"You can use the llm-powered jupyter notebook, but you need a modern computer (e.g., 16GB of RAM, 4-core CPU)",responsiveness
"You can use the llm-powered jupyter notebook on any computer, regardless of its specifications, but it requires internet connection, may be slower, and data will be accessed by the API provider",responsiveness
